hasfix,satellitesused,lat,lon,altitude,course,speedkmhr,humidity,temperature,bat,sensor_number,datetime
True,7,34.736065,-92.285567,387.00,321.87,0.50,51.28,30.69,3.89,2016,2023-08-19 19:42:25+00:00
True,7,34.736053,-92.285560,383.00,321.87,0.39,51.20,30.75,3.88,2016,2023-08-19 19:42:27+00:00
True,7,34.736047,-92.285555,381.10,321.87,0.44,51.02,30.81,3.89,2016,2023-08-19 19:42:28+00:00
True,7,34.736038,-92.285545,378.10,321.87,0.57,50.89,30.88,3.89,2016,2023-08-19 19:42:29+00:00
True,7,34.736040,-92.285540,376.80,321.87,0.72,50.52,30.95,3.89,2016,2023-08-19 19:42:30+00:00
True,7,34.736040,-92.285537,375.50,321.87,0.72,50.49,31.00,3.89,2016,2023-08-19 19:42:31+00:00
True,7,34.736038,-92.285532,374.50,321.87,0.76,50.12,31.07,3.88,2016,2023-08-19 19:42:32+00:00
True,7,34.736035,-92.285528,373.60,321.87,0.63,49.96,31.18,3.89,2016,2023-08-19 19:42:33+00:00
True,7,34.736028,-92.285522,371.70,321.87,0.54,49.71,31.31,3.89,2016,2023-08-19 19:42:34+00:00
True,7,34.736025,-92.285518,370.50,321.87,0.50,49.42,31.42,3.89,2016,2023-08-19 19:42:35+00:00
True,7,34.736025,-92.285517,370.50,321.87,0.43,49.19,31.47,3.89,2016,2023-08-19 19:42:36+00:00
True,7,34.736027,-92.285517,371.20,321.87,0.39,48.97,31.53,3.89,2016,2023-08-19 19:42:37+00:00
True,7,34.736027,-92.285515,370.90,321.87,0.43,48.89,31.60,3.88,2016,2023-08-19 19:42:38+00:00
True,7,34.736025,-92.285513,370.00,321.87,0.52,48.70,31.67,3.88,2016,2023-08-19 19:42:39+00:00
True,10,34.735590,-92.285183,229.30,321.87,0.50,48.46,31.81,3.88,2016,2023-08-19 19:42:40+00:00
True,10,34.735468,-92.285095,189.00,321.87,0.43,48.21,31.86,3.88,2016,2023-08-19 19:42:41+00:00
True,10,34.735425,-92.285065,173.80,321.87,0.54,48.13,31.93,3.88,2016,2023-08-19 19:42:42+00:00
True,10,34.735405,-92.285048,165.30,321.87,0.61,47.93,32.08,3.89,2016,2023-08-19 19:42:43+00:00
True,10,34.735393,-92.285035,159.50,321.87,0.56,47.79,32.15,3.88,2016,2023-08-19 19:42:44+00:00
True,10,34.735383,-92.285025,155.20,321.87,0.54,47.30,32.24,3.88,2016,2023-08-19 19:42:45+00:00
True,10,34.735375,-92.285017,151.70,321.87,0.46,47.30,32.29,3.89,2016,2023-08-19 19:42:46+00:00
True,10,34.735365,-92.285008,147.90,321.87,0.41,47.07,32.38,3.88,2016,2023-08-19 19:42:47+00:00
True,10,34.735358,-92.285000,145.30,321.87,0.31,46.76,32.48,3.88,2016,2023-08-19 19:42:48+00:00
True,11,34.735275,-92.284970,130.60,321.87,0.26,46.69,32.56,3.84,2016,2023-08-19 19:42:49+00:00
True,11,34.735268,-92.284973,131.20,321.87,0.72,46.46,32.69,3.88,2016,2023-08-19 19:42:50+00:00
True,11,34.735258,-92.284973,131.50,321.87,0.69,46.22,32.75,3.88,2016,2023-08-19 19:42:51+00:00
True,11,34.735250,-92.284973,132.10,321.87,0.67,46.05,32.80,3.88,2016,2023-08-19 19:42:52+00:00
True,11,34.735238,-92.284970,132.70,321.87,0.93,46.07,32.85,3.88,2016,2023-08-19 19:42:53+00:00
